Book,Node,Community
1,Addam-Marbrand,7
1,Jaime-Lannister,7
1,Tywin-Lannister,7
1,Aegon-I-Targaryen,1
1,Daenerys-Targaryen,1
1,Eddard-Stark,2
1,Aemon-Targaryen-(Maester-Aemon),3
1,Alliser-Thorne,3
1,Bowen-Marsh,3
1,Chett,3
1,Clydas,3
1,Jeor-Mormont,3
1,Jon-Snow,3
1,Samwell-Tarly,3
1,Aerys-II-Targaryen,2
1,Brandon-Stark,2
1,Gerold-Hightower,2
1,Jon-Arryn,2
1,Robert-Baratheon,2
1,Aggo,1
1,Drogo,1
1,Jhogo,1
1,Jorah-Mormont,1
1,Quaro,1
1,Rakharo,1
1,Albett,3
1,Halder,3
1,Rast,3
1,Grenn,3
1,Pypar,3
1,Tyrion-Lannister,7
1,Alyn,2
1,Harwin,2
1,Jory-Cassel,2
1,Tomard,2
1,Arthur-Dayne,2
1,Arya-Stark,5
1,Benjen-Stark,3
1,Bran-Stark,6
1,Catelyn-Stark,7
1,Cersei-Lannister,2
1,Desmond,5
1,Ilyn-Payne,5
1,Jeyne-Poole,5
1,Joffrey-Baratheon,5
1,Meryn-Trant,5
1,Mordane,5
1,Mycah,5
1,Myrcella-Baratheon,5
1,Petyr-Baelish,2
1,Rickon-Stark,6
1,Robb-Stark,6
1,Rodrik-Cassel,6
1,Sandor-Clegane,5
1,Sansa-Stark,5
1,Syrio-Forel,5
1,Tommen-Baratheon,5
1,Vayon-Poole,2
1,Yoren,3
1,Arys-Oakheart,2
1,Balon-Greyjoy,2
1,Balon-Swann,5
1,Renly-Baratheon,2
1,Barristan-Selmy,2
1,Boros-Blount,5
1,Pycelle,2
1,Varys,2
1,Jaremy-Rykker,3
1,Luwin,6
1,Mance-Rayder,3
1,Theon-Greyjoy,6
1,Waymar-Royce,0
1,Beric-Dondarrion,5
1,Gregor-Clegane,5
1,Loras-Tyrell,5
1,Thoros-of-Myr,5
1,Hali,6
1,Hallis-Mollen,6
1,Hodor,6
1,Hullen,6
1,Joseth,6
1,Nan,6
1,Osha,6
1,Rickard-Karstark,6
1,Rickard-Stark,6
1,Stiv,6
1,Lyanna-Stark,2
1,Bronn,7
1,Chiggen,7
1,Marillion,7
1,Shae,7
1,Shagga,7
1,Vardis-Egen,7
1,Willis-Wode,7
1,Brynden-Tully,7
1,Edmure-Tully,7
1,Hoster-Tully,7
1,Lysa-Arryn,7
1,Nestor-Royce,7
1,Walder-Frey,7
1,Colemon,7
1,Donnel-Waynwood,7
1,Eon-Hunter,7
1,Jon-Umber-(Greatjon),6
1,Masha-Heddle,7
1,Moreo-Tumitis,7
1,Mya-Stone,7
